N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"65,900","하락 1,900",-2.80%,100,"3,901,041","5,919,638",50.24,"18,345,075",12.77,9.03
2,SK하이닉스,"267,750","하락 4,750",-1.74%,"5,000","1,949,226","728,002",55.16,"2,578,456",7.50,31.06
3,LG에너지솔루션,"334,000","상승 3,000",+0.91%,500,"781,560","234,000",4.21,"265,772",-67.15,-4.93
4,삼성바이오로직스,"1,042,000","상승 3,000",+0.29%,"2,500","741,633","71,174",12.96,"35,743",57.96,10.45
5,한화에어로스페이스,"916,000","하락 3,000",-0.33%,"5,000","472,321","51,563",43.90,"153,975",18.52,53.94
6,삼성전자우,"54,700","하락 1,400",-2.50%,100,"446,338","815,975",74.09,"1,553,067",10.60,N/A
7,KB금융,"114,200",하락 800,-0.70%,"5,000","435,630","381,462",77.80,"534,867",7.92,8.86
8,현대차,"206,000","하락 3,000",-1.44%,"5,000","421,801","204,758",35.92,"382,626",4.49,12.43
9,셀트리온,"180,500",하락 700,-0.39%,"1,000","401,479","222,426",21.46,"350,699",83.53,2.46
10,두산에너빌리티,"62,650","하락 5,750",-8.41%,"5,000","401,312","640,561",24.34,"11,538,715",-394.03,1.52
11,기아,"98,100","하락 1,200",-1.21%,"5,000","390,117","397,673",39.24,"534,259",4.19,19.09
12,NAVER,"235,000","하락 5,000",-2.08%,100,"372,327","158,437",44.64,"750,475",20.52,7.90
13,HD현대중공업,"416,000","하락 9,000",-2.12%,"5,000","369,296","88,773",11.00,"138,055",42.11,11.39
14,신한지주,"68,100",하락 900,-1.30%,"5,000","330,622","485,495",60.06,"664,486",7.48,8.11
15,삼성물산,"169,500","하락 4,700",-2.70%,100,"288,110","169,977",27.12,"395,484",13.54,6.83
16,현대모비스,"291,500","하락 7,500",-2.51%,"5,000","267,583","91,795",43.45,"135,362",6.42,9.35
17,POSCO홀딩스,"323,000","하락 4,000",-1.22%,"5,000","261,413","80,933",30.01,"375,893",31.40,2.00
18,삼성생명,"130,700","하락 1,900",-1.43%,500,"261,400","200,000",21.63,"170,761",12.33,6.18
19,한화오션,"85,100",상승 700,+0.83%,"5,000","260,758","306,413",12.45,"1,964,746",37.64,11.52
20,하나금융지주,"91,100",하락 800,-0.87%,"5,000","259,383","284,724",67.49,"447,072",6.87,9.11
21,HMM,"24,250",하락 150,-0.61%,"5,000","248,572","1,025,039",6.96,"948,941",4.78,15.35
22,카카오,"56,100",하락 800,-1.41%,100,"247,970","442,014",28.12,"1,053,470",162.14,0.56
23,한국전력,"37,250",상승 100,+0.27%,"5,000","239,132","641,964",19.46,"4,455,766",4.55,9.22
24,HD한국조선해양,"336,500","하락 4,500",-1.32%,"5,000","238,152","70,773",32.68,"179,710",16.10,11.16
25,삼성화재,"462,500","상승 1,000",+0.22%,500,"212,802","46,011",55.50,"76,216",11.81,13.11
26,메리츠금융지주,"117,100","하락 2,100",-1.76%,500,"210,797","180,014",15.66,"157,370",9.59,23.44
27,현대로템,"192,400","하락 7,400",-3.70%,"5,000","209,990","109,142",31.80,"645,408",41.25,21.85
28,SK스퀘어,"156,200","하락 5,200",-3.22%,100,"207,029","132,541",53.32,"296,855",4.21,21.70
29,LG화학,"289,000","상승 2,000",+0.70%,"5,000","204,012","70,592",31.21,"387,728",-24.19,-2.11
30,우리금융지주,"24,900",하락 50,-0.20%,"5,000","184,905","742,592",46.66,"1,363,997",6.42,9.39
31,SK이노베이션,"114,000",하락 900,-0.78%,"5,000","172,180","151,035",13.73,"172,455",-5.63,-9.65
32,삼성중공업,"19,440",상승 40,+0.21%,"1,000","171,072","880,000",32.10,"7,112,199",117.11,1.77
33,크래프톤,"354,000",상승 500,+0.14%,100,"167,768","47,392",43.25,"56,868",12.79,21.10
34,HD현대일렉트릭,"464,000","하락 31,000",-6.26%,"5,000","167,259","36,047",35.36,"429,759",29.78,39.34
35,고려아연,"832,000","하락 2,000",-0.24%,"5,000","166,594","20,023",12.24,"8,957",69.92,2.28
36,KT&G,"136,200",하락 700,-0.51%,"5,000","166,249","122,062",43.05,"149,316",15.34,12.66
37,기업은행,"20,200",하락 50,-0.25%,"5,000","161,080","797,426",14.01,"674,514",6.03,8.06
38,SK,"213,500","상승 1,000",+0.47%,200,"154,793","72,503",24.74,"192,444",17.38,-5.64
39,삼성SDI,"182,000","하락 3,800",-2.05%,"5,000","146,666","80,586",27.81,"439,353",124.57,3.13
40,KT,"57,550",상승 950,+1.68%,"5,000","145,038","252,022",49.00,"250,042",22.92,2.85
41,카카오뱅크,"29,250",하락 400,-1.35%,"5,000","139,519","476,989",16.79,"511,373",29.91,6.95
42,삼성에스디에스,"177,600","하락 5,700",-3.11%,500,"137,423","77,378",18.30,"214,364",18.14,8.42
43,LIG넥스원,"586,000","하락 44,000",-6.98%,"5,000","128,920","22,000",31.43,"194,099",52.54,19.59
44,LG전자,"76,950",상승 350,+0.46%,"5,000","125,927","163,648",29.44,"840,695",20.12,1.81
45,LG,"79,800",하락 300,-0.37%,"5,000","125,486","157,251",34.82,"200,298",15.79,2.16
46,SK텔레콤,"56,500",상승 600,+1.07%,100,"121,356","214,790",39.31,"504,311",9.62,10.83
47,포스코퓨처엠,"150,700","하락 5,700",-3.64%,500,"116,737","77,463",10.49,"616,253",-53.94,-7.98
48,미래에셋증권,"20,100",하락 300,-1.47%,"5,000","114,634","570,316",12.43,"2,298,631",14.74,7.94
49,하이브,"273,500","하락 2,500",-0.91%,500,"113,918","41,652",20.01,"177,066",217.75,0.31
50,HD현대,"135,500","하락 1,700",-1.24%,"1,000","107,036","78,993",23.63,"105,115",20.39,6.36
51,현대글로비스,"140,500",하락 500,-0.35%,500,"105,375","75,000",49.68,"126,545",8.87,13.24
52,한화시스템,"55,700",하락 900,-1.59%,"5,000","105,228","188,919",7.82,"1,315,176",23.90,19.63
53,삼양식품,"1,350,000","하락 43,000",-3.09%,"5,000","101,696","7,533",20.32,"57,039",33.39,39.37
54,삼성전기,"134,000","하락 3,300",-2.40%,"5,000","100,090","74,694",32.92,"287,113",16.51,8.16
55,유한양행,"124,900","하락 1,000",-0.79%,"1,000","99,881","79,968",17.72,"787,337",152.13,3.41
56,DB손해보험,"135,500","하락 1,300",-0.95%,500,"95,934","70,800",45.05,"175,496",5.64,18.98
57,효성중공업,"1,025,000","하락 28,000",-2.66%,"5,000","95,577","9,325",23.22,"67,423",31.53,14.90
58,대한항공,"25,100",하락 300,-1.18%,"5,000","92,423","368,221",16.89,"1,454,309",7.56,13.17
59,두산,"551,000","하락 22,000",-3.84%,"5,000","91,046","16,524",14.76,"104,411",-56.86,-14.57
60,포스코인터내셔널,"51,300","하락 2,100",-3.93%,"5,000","90,248","175,923",6.32,"451,858",16.78,8.14
61,TIGER 미국S&P500,"21,775",하락 25,-0.11%,0,"87,067","399,850",0.22,"4,119,682",N/A,N/A
62,한국항공우주,"89,200","하락 2,300",-2.51%,"5,000","86,948","97,475",33.71,"358,556",52.53,10.42
63,KODEX CD금리액티브(합성),"1,075,000",상승 75,+0.01%,0,"86,594","8,055",0.00,"147,731",N/A,N/A
64,한국금융지주,"150,700","상승 2,100",+1.41%,"5,000","83,979","55,726",36.96,"289,242",8.02,11.54
65,HD현대마린솔루션,"185,700",상승 600,+0.32%,500,"83,248","44,829",29.62,"131,773",33.23,44.98
66,한미반도체,"86,400","하락 2,300",-2.59%,100,"82,350","95,312",7.39,"325,947",60.76,27.43
67,LS ELECTRIC,"274,000","하락 10,500",-3.69%,"5,000","82,200","30,000",23.90,"167,783",35.71,13.44
68,HD현대미포,"198,600","하락 2,400",-1.19%,"5,000","79,325","39,942",22.19,"294,884",51.96,5.25
69,SK바이오팜,"100,800","하락 1,600",-1.56%,500,"78,940","78,313",10.92,"167,337",31.42,58.01
70,아모레퍼시픽,"134,700","하락 1,300",-0.96%,500,"78,790","58,493",23.71,"115,049",14.87,11.69
71,카카오페이,"58,100","상승 1,200",+2.11%,500,"78,430","134,992",34.37,"2,304,784","-1,874.19",-0.73
72,한진칼,"116,600","하락 1,800",-1.52%,"2,500","77,845","66,762",20.78,"44,236",17.09,16.75
73,코웨이,"107,800",하락 200,-0.19%,500,"77,518","71,909",60.87,"119,714",13.74,19.38
74,현대건설,"66,800","하락 4,000",-5.65%,"5,000","74,386","111,356",24.98,"2,082,074",-36.87,-2.09
75,S-Oil,"62,600",상승 200,+0.32%,"2,500","70,477","112,583",74.08,"181,380",-18.08,-2.18
76,LG씨엔에스,"71,700","하락 2,900",-3.89%,500,"69,467","96,886",3.83,"553,168",15.60,18.32
77,NH투자증권,"21,300",하락 400,-1.84%,"5,000","69,030","324,086",15.89,"678,579",11.02,8.73
78,한화,"91,900","하락 1,100",-1.18%,"5,000","68,887","74,959",16.25,"232,955",8.78,7.19
79,에이피알,"177,500","상승 5,400",+3.14%,100,"67,528","38,044",23.86,"527,701",50.50,41.34
80,KODEX 머니마켓액티브,"103,360",상승 5,0.00%,0,"67,418","65,226",0.00,"346,496",N/A,N/A
81,KODEX 200,"42,975",하락 715,-1.64%,0,"67,277","156,550",33.55,"7,388,597",N/A,N/A
82,LG유플러스,"15,180",상승 260,+1.74%,"5,000","66,278","436,611",37.92,"1,295,395",16.20,4.40
83,삼성증권,"72,400","하락 1,700",-2.29%,"5,000","64,653","89,300",28.35,"427,684",7.23,12.89
84,한화솔루션,"37,100",하락 800,-2.11%,"5,000","63,772","171,893",14.88,"2,932,721",-6.54,-15.99
85,삼성카드,"52,900",상승 100,+0.19%,"5,000","61,289","115,859",6.18,"58,510",9.13,8.00
86,키움증권,"221,000","하락 4,500",-2.00%,"5,000","57,563","26,047",26.31,"119,656",7.58,15.98
87,한국타이어앤테크놀로지,"46,350",하락 350,-0.75%,500,"57,416","123,875",35.33,"199,060",5.33,10.79
88,현대차2우B,"162,800","하락 1,400",-0.85%,"5,000","56,921","34,964",59.51,"67,544",3.55,N/A
89,LS,"175,500","하락 3,000",-1.68%,"5,000","56,511","32,200",14.88,"112,724",19.90,5.09
90,맥쿼리인프라,"11,400",상승 20,+0.18%,0,"54,597","478,922",8.94,"791,029",N/A,N/A
91,넷마블,"62,800","하락 1,000",-1.57%,100,"53,979","85,954",25.67,"122,668",53.09,0.49
92,TIGER 미국나스닥100,"142,795",상승 120,+0.08%,0,"53,805","37,680",0.08,"262,779",N/A,N/A
93,두산밥캣,"54,500","하락 1,400",-2.50%,500,"52,242","95,856",34.01,"144,499",11.83,8.77
94,LG생활건강,"330,500",보합 0,0.00%,"5,000","51,618","15,618",28.36,"40,094",32.39,3.44
95,삼성E&A,"25,150",하락 650,-2.52%,"5,000","49,294","196,000",45.54,"369,537",6.61,19.65
96,BNK금융지주,"15,405",하락 15,-0.10%,"5,000","49,047","318,384",39.59,"817,382",7.66,6.96
97,현대제철,"36,400",하락 250,-0.68%,"5,000","48,574","133,446",18.11,"614,995",-49.39,-0.06
98,GS,"51,700",하락 100,-0.19%,"5,000","48,037","92,915",15.96,"215,209",11.88,4.12
99,TIGER CD금리투자KIS(합성),"56,320",상승 10,+0.02%,0,"47,923","85,090",0.03,"144,597",N/A,N/A
100,KODEX 미국S&P500,"20,040",하락 20,-0.10%,0,"47,846","238,750",0.20,"3,510,673",N/A,N/A
101,JB금융지주,"24,450",상승 400,+1.66%,"5,000","47,410","193,908",34.35,"357,146",7.14,12.80
102,CJ,"160,200","하락 1,100",-0.68%,"5,000","46,742","29,177",11.40,"115,249",57.52,1.83
103,LG디스플레이,"9,100",하락 70,-0.76%,"5,000","45,500","500,000",21.00,"980,677",-2.23,-37.21
104,오리온,"113,300",하락 700,-0.61%,500,"44,794","39,536",30.55,"65,659",8.37,16.57
105,엔씨소프트,"206,500","하락 1,500",-0.72%,500,"44,488","21,544",32.46,"48,846",60.59,2.99
106,현대오토에버,"158,400","하락 4,300",-2.64%,500,"43,440","27,424",2.82,"67,545",26.33,10.40
107,이수페타시스,"58,950","하락 2,250",-3.68%,"1,000","43,275","73,409",20.49,"1,123,907",41.25,24.92
108,풍산,"154,200","하락 6,100",-3.81%,"5,000","43,213","28,024",24.00,"315,643",17.95,11.33
109,강원랜드,"20,100",보합 0,0.00%,500,"43,002","213,940",14.63,"408,943",9.80,12.09
110,한국가스공사,"43,700","하락 1,200",-2.67%,"5,000","40,341","92,313",10.10,"321,786",3.64,11.21
111,KODEX KOFR금리액티브(합성),"110,800",상승 5,0.00%,0,"39,919","36,028",0.00,"353,455",N/A,N/A
112,두산로보틱스,"61,100","하락 1,300",-2.08%,500,"39,605","64,820",2.16,"123,483",-91.88,-8.69
113,포스코DX,"25,550",하락 100,-0.39%,500,"38,845","152,035",3.33,"980,494",46.29,17.92
114,SKC,"100,900","하락 2,000",-1.94%,"5,000","38,209","37,868",13.82,"146,324",-7.32,-34.34
115,CJ제일제당,"251,500","하락 1,500",-0.59%,"5,000","37,861","15,054",20.43,"32,817",55.75,1.97
116,현대차우,"159,700","하락 1,200",-0.75%,"5,000","37,276","23,341",58.20,"78,358",3.48,N/A
117,SK바이오사이언스,"47,200",하락 400,-0.84%,500,"36,990","78,369",6.36,"68,127",-76.87,-3.07
118,한미약품,"286,750","하락 1,750",-0.61%,"2,500","36,736","12,811",11.58,"30,696",33.73,11.89
119,에코프로머티,"52,300","하락 2,000",-3.68%,500,"36,575","69,932",21.21,"497,033",-87.17,-5.56
120,LG이노텍,"151,850","하락 2,350",-1.52%,"5,000","35,938","23,667",23.15,"218,040",9.07,8.92
121,KODEX 종합채권(AA-이상)액티브,"118,835",상승 165,+0.14%,0,"34,651","29,159",0.00,"53,238",N/A,N/A
122,금호석유화학,"129,200","하락 1,100",-0.84%,"5,000","34,186","26,460",18.57,"71,294",10.62,5.88
123,TIGER 미국테크TOP10 INDXX,"25,745",상승 120,+0.47%,0,"33,713","130,950",0.15,"2,033,144",N/A,N/A
124,현대엘리베이터,"85,600",상승 600,+0.71%,"5,000","33,463","39,092",25.89,"167,632",16.01,14.42
125,KCC,"373,500","하락 1,500",-0.40%,"5,000","33,191","8,886",9.60,"21,200",-28.23,6.08
126,한전기술,"86,400","하락 3,000",-3.36%,200,"33,022","38,220",11.63,"277,132",28.52,10.40
127,한화생명,"3,710",하락 60,-1.59%,"5,000","32,222","868,530",10.55,"1,935,880",4.77,6.98
128,롯데지주,"30,500",상승 50,+0.16%,200,"31,997","104,909",8.94,"872,242",-2.97,-15.56
129,한미사이언스,"46,650","하락 1,850",-3.81%,500,"31,905","68,392",1.60,"217,774",60.51,7.30
130,동서,"30,700",상승 50,+0.16%,500,"30,608","99,700",4.19,"60,080",20.60,9.52
131,F&F,"78,100",상승 200,+0.26%,100,"29,918","38,307",11.17,"45,140",8.61,25.27
132,서울보증보험,"42,650",상승 50,+0.12%,"2,500","29,779","69,822",0.79,"63,793",13.97,4.12
133,롯데케미칼,"68,900",보합 0,0.00%,"5,000","29,472","42,775",21.80,"87,724",-1.62,-11.44
134,대한전선,"15,740",하락 280,-1.75%,"1,000","29,347","186,447",6.97,"750,297",37.57,5.85
135,TIGER 200,"42,945",하락 710,-1.63%,0,"28,623","66,650",10.72,"1,895,895",N/A,N/A
136,KODEX 미국나스닥100,"21,470",상승 10,+0.05%,0,"28,501","132,750",0.05,"1,391,448",N/A,N/A
137,TIGER KOFR금리액티브(합성),"109,295",상승 5,0.00%,0,"28,202","25,804",0.00,"40,464",N/A,N/A
138,KODEX 200TR,"15,315",하락 255,-1.64%,0,"28,187","184,050",0.00,"464,730",N/A,N/A
139,산일전기,"92,300","하락 3,800",-3.95%,500,"28,101","30,445",9.31,"348,882",28.72,29.88
140,한화비전,"55,600",상승 300,+0.54%,500,"28,072","50,488",19.83,"736,449",87.56,N/A
141,코스맥스,"244,000","상승 3,500",+1.46%,500,"27,693","11,350",36.70,"87,227",37.08,20.53
142,에스원,"71,600",상승 600,+0.85%,500,"27,207","37,999",56.00,"31,521",15.28,10.85
143,영원무역,"59,600",하락 300,-0.50%,500,"26,410","44,311",29.63,"17,692",6.13,12.32
