종목명,시가총액,조단위,누적비율
삼성전자,3901041,390.1041,0.13778257227363438
SK하이닉스,1949226,194.9226,0.20662813739910915
LG에너지솔루션,781560,78.156,0.23423239666892498
삼성바이오로직스,741633,74.1633,0.26042645677314136
한화에어로스페이스,472321,47.2321,0.2771085686296574
삼성전자우,446338,44.6338,0.2928729755516737
KB금융,435630,43.563,0.30825918194108703
현대차,421801,42.1801,0.3231569558346686
셀트리온,401479,40.1479,0.33733696812724545
두산에너빌리티,401312,40.1312,0.35151108207382453
기아,390117,39.0117,0.36528979492192676
NAVER,372327,37.2327,0.3784401749837937
HD현대중공업,369296,36.9296,0.39148350183177194
신한지주,330622,33.0622,0.403160884768853
삼성물산,288110,28.811,0.4133367677953982
현대모비스,267583,26.7583,0.42278764873633057
POSCO홀딩스,261413,26.1413,0.43202060875027753
삼성생명,261400,26.14,0.441253109611542
한화오션,260758,26.0758,0.4504629353941801
하나금융지주,259383,25.9383,0.4596241969507882
HMM,248572,24.8572,0.46840362007277075
카카오,247970,24.797,0.47716178089361144
한국전력,239132,23.9132,0.4856077885292499
HD한국조선해양,238152,23.8152,0.4940191831165179
삼성화재,212802,21.2802,0.5015352299729785
메리츠금융지주,210797,21.0797,0.5089804613580281
현대로템,209990,20.999,0.5163971899573278
SK스퀘어,207029,20.7029,0.5237093377033366
LG화학,204012,20.4012,0.5309149267075765
우리금융지주,184905,18.4905,0.5374456672269036
SK이노베이션,172180,17.218,0.5435269679089714
삼성중공업,171072,17.1072,0.5495691346547182
크래프톤,167768,16.7768,0.5554946059802447
HD현대일렉트릭,167259,16.7259,0.5614020997122808
고려아연,166594,16.6594,0.5672861060186369
KT&G,166249,16.6249,0.5731579271191892
기업은행,161080,16.108,0.5788471820493057
SK,154793,15.4793,0.5843143836782947
삼성SDI,146666,14.6666,0.5894945442418686
KT,145038,14.5038,0.594617204761823
카카오뱅크,139519,13.9519,0.5995449373083523
삼성에스디에스,137423,13.7423,0.6043986403146934
LIG넥스원,128920,12.892,0.608952022147265
LG전자,125927,12.5927,0.6133996929045582
LG,125486,12.5486,0.6178317877900847
SK텔레콤,121356,12.1356,0.6221180134003357
포스코퓨처엠,116737,11.6737,0.6262410985305631
미래에셋증권,114634,11.4634,0.6302899068845423
하이브,113918,11.3918,0.634313426521549
HD현대,107036,10.7036,0.6380938777923458
현대글로비스,105375,10.5375,0.6418156634780985
한화시스템,105228,10.5228,0.6455322572065956
삼양식품,101696,10.1696,0.6491241026832105
삼성전기,100090,10.009,0.6526592251438225
유한양행,99881,9.9881,0.6561869658420779
DB손해보험,95934,9.5934,0.6595753007220494
효성중공업,95577,9.5577,0.6629510265629717
대한항공,92423,9.2423,0.6662153548992403
두산,91046,9.1046,0.6694310483706049
포스코인터내셔널,90248,9.0248,0.6726185569311535
TIGER 미국S&P500,87067,8.7067,0.6756937143622465
한국항공우주,86948,8.6948,0.678764668780323
KODEX CD금리액티브(합성),86594,8.6594,0.6818231201176618
한국금융지주,83979,8.3979,0.6847892111269507
HD현대마린솔루션,83248,8.3248,0.6877294836277102
한미반도체,82350,8.235,0.6906380392739425
LS ELECTRIC,82200,8.22,0.693541297004608
HD현대미포,79325,7.9325,0.6963430113535743
SK바이오팜,78940,7.894,0.6991311277192523
아모레퍼시픽,78790,7.879,0.7019139461693633
카카오페이,78430,7.843,0.7046840496221138
한진칼,77845,7.7845,0.7074334912041533
코웨이,77518,7.7518,0.710171383330257
현대건설,74386,7.4386,0.7127986549793236
S-Oil,70477,7.0477,0.7152878629487167
LG씨엔에스,69467,6.9467,0.7177413982866259
NH투자증권,69030,6.903,0.7201794990305168
한화,68887,6.8887,0.7226125490949006
에이피알,67528,6.7528,0.7249976000442482
KODEX 머니마켓액티브,67418,6.7418,0.7273787658555134
KODEX 200,67277,6.7277,0.7297549516261458
LG유플러스,66278,6.6278,0.7320958532791024
삼성증권,64653,6.4653,0.734379360846751
한화솔루션,63772,6.3772,0.7366317519903033
삼성카드,61289,6.1289,0.7387964449715047
키움증권,57563,5.7563,0.740829537730024
한국타이어앤테크놀로지,57416,5.7416,0.7428574385312878
현대차2우B,56921,5.6921,0.7448678562111809
LS,56511,5.6511,0.7468637929218577
맥쿼리인프라,54597,5.4597,0.7487921282299007
넷마블,53979,5.3979,0.7506986361258081
TIGER 미국나스닥100,53805,5.3805,0.7525989984396579
두산밥캣,52242,5.2242,0.7544441564733005
LG생활건강,51618,5.1618,0.7562672751781848
삼성E&A,49294,4.9294,0.7580083115112192
BNK금융지주,49047,4.9047,0.7597406239432866
현대제철,48574,4.8574,0.7614562302815997
GS,48037,4.8037,0.7631528700821834
TIGER CD금리투자KIS(합성),47923,4.7923,0.7648454834669361
KODEX 미국S&P500,47846,4.7846,0.7665353772550313
JB금융지주,47410,4.741,0.7682098717685453
CJ,46742,4.6742,0.7698607728980679
LG디스플레이,45500,4.55,0.7714678072866965
오리온,44794,4.4794,0.7730499061527236
엔씨소프트,44488,4.4488,0.7746211972709942
현대오토에버,43440,4.344,0.7761554736191707
이수페타시스,43275,4.3275,0.7776839222602235
풍산,43213,4.3213,0.7792101810961755
강원랜드,43002,4.3002,0.7807289875308966
한국가스공사,40341,4.0341,0.7821538089434608
KODEX KOFR금리액티브(합성),39919,3.9919,0.7835637255535634
두산로보틱스,39605,3.9605,0.7849625518604125
포스코DX,38845,3.8845,0.786334535395056
SKC,38209,3.8209,0.7876840557676958
CJ제일제당,37861,3.7861,0.7890212849762205
현대차우,37276,3.7276,0.7903378523140342
SK바이오사이언스,36990,3.699,0.7916443182928335
한미약품,36736,3.6736,0.7929418131346064
에코프로머티,36575,3.6575,0.794233621547004
LG이노텍,35938,3.5938,0.7955029314779609
KODEX 종합채권(AA-이상)액티브,34651,3.4651,0.7967267852933537
금호석유화학,34186,3.4186,0.797934215570489
TIGER 미국테크TOP10 INDXX,33713,3.3713,0.7991249397538701
